输入字段,中文名称,数据类型,来源（用户输入/系统推理/合成数据）,ML模型使用,Agent知识库检索,对应知识库文件,备注
merchant_type,企业类型,enum: enterprise/individual/system,用户输入,否（仅用于规则引擎）,是→行业准入行业准入与限制规则.csv,通过 merchant_type+industry 联动行业准入判断
industry,行业类型,category（18类编码）,用户输入,是（industry_encoded→ML特征）,是→行业准入与限制规则.csv,ML使用编码后值；Agent返回行业准入等级+接受度系数
business_age_years,企业经营年限,float,用户输入,是（ML特征：business_age_years）,是→贷款被拒因子与权重.csv,ML特征重要性第8位；Agent判断"成立时间短"风险
region/province,所在地区,category,用户输入,否,是→行业准入地域调整系数.csv+银行地域可用性.csv,新增强字段，用于地域差异化匹配
registered_capital_wan,注册资本_万元,float,用户输入,是（ML特征：registered_capital_wan）,否,ML重要性moderate
employee_count,员工数量,int,用户输入,是（ML特征：employee_count）,否,ML重要性moderate
monthly_revenue,月营业收入,float,用户输入,是（annual_revenue_wan=月营收×12）,否,前端输入→ML字段转换
monthly_fixed_cost,月固定成本,float,用户输入,是（annual_profit_wan=年利润）,否,用于计算profit_margin
existing_liabilities,现有负债额,float,用户输入,否（合成数据无此字段）,是→贷款被拒因子与权重.csv（负债率过高因子）,Agent用于计算资产负债率和偿债覆盖率
requested_amount,申请贷款金额,float,用户输入,否,是→银行产品数据库.json,Agent额度匹配用
loan_term,贷款期限,float,用户输入,否（UCI有但合成数据无）,是→银行产品数据库.json,Agent期限匹配用
annual_rate,期望利率,float,用户输入,否,是→银行产品数据库.json+政策规则知识库（LPR）,Agent利率合理性检查
tax_level,纳税等级,ordinal: A/B/M/C/D,用户输入,是（tax_level_encoded→ML特征）,是→纳税等级评分规则.csv,ML特征重要性critical；Agent匹配银税贷产品
has_business_license,是否有营业执照,bool,用户输入,否,否,基础校验字段
has_stable_bank_flow,是否有稳定银行流水,bool,用户输入,否,是→贷款被拒因子与权重.csv（经营流水不足因子）,Agent诊断流水不足风险
has_overdue_record,是否有逾期记录,bool,用户输入,是（has_default_history→ML特征）,是→征信要求分级表.csv+贷款被拒因子与权重.csv,ML特征重要性第2位；Agent进行征信诊断
overdue_count_2yr,近2年逾期次数,int,用户输入,是（ML特征：overdue_count_2yr）,是→征信要求分级表.csv,ML特征重要性第1位（最重要）；Agent匹配银行征信容忍度
credit_inquiry_3m,近3月征信查询次数,int,用户输入,是（ML特征：credit_inquiry_3m）,是→征信要求分级表.csv,ML特征重要性第3位；Agent检查征信查询次数
has_collateral_or_guarantor,是否有抵押/担保,bool,用户输入,是（has_real_estate/has_other_collateral）,是→贷款被拒因子与权重.csv（缺乏有效抵押物因子）,Agent诊断抵押因子
has_real_estate,是否有房产,bool,用户输入,是（ML特征：has_real_estate）,是→银行产品数据库.json（抵押要求）,ML特征重要性中；Agent匹配有抵押要求的产品
real_estate_value_wan,房产价值_万元,float,用户输入,是（ML特征：real_estate_value_wan）,是→银行产品数据库.json（额度计算）,Agent参与额度上限计算
is_ecommerce,是否电商企业,bool,用户输入,是（ML特征：is_ecommerce）,是→银行产品数据库.json（互联网银行匹配）,ML特征重要性第6位；Agent推荐网商贷类产品
is_tech_enterprise,是否科创企业,bool,用户输入,是（ML特征：is_tech_enterprise）,是→2026政策补贴与贴息规则.csv（科创企业专项）,ML特征重要性第10位；Agent匹配科创政策
legal_disputes,法律纠纷次数,int,系统推理（或用输入）,是（ML特征：legal_disputes）,否,ML特征重要性第4位
revenue_volatility,收入波动系数,float,系统推理（基于营收数据计算）,是（ML特征：revenue_volatility）,否,ML特征；可用于Agent稳定性诊断
profit_margin,利润率,float,系统计算：(营收-成本)/营收,是（ML特征：profit_margin）,否,系统自动计算
annual_revenue_wan,年营业收入_万元,float,系统计算：月营收×12,是（ML特征：annual_revenue_wan）,是→银行产品数据库.json（额度=月营收×0.4×12）,ML特征重要性高；额度计算关键因子
annual_profit_wan,年利润_万元,float,系统计算：(月营收-月固定成本)×12,是（ML特征：annual_profit_wan）,否,ML特征
cash_flow_wan,现金流_万元,float,系统计算：年利润+折旧+非现金调整,是（ML特征：cash_flow_wan）,否,ML特征重要性第7位
asset_liability_ratio,资产负债率,float,系统计算：现有负债/年营收,是（ML特征：asset_liability_ratio）,是→贷款被拒因子与权重.csv（负债率过高因子）,ML特征；Agent诊断负债率风险
default_probability,违约概率,float,ML模型输出（XGBoost）,是（模型推理结果）,是（Agent报告中引用）,输出字段，不输入
credit_rating,信用评级,category: A/B/C/D,ML模型输出（GradientBoosting）,是（模型推理结果）,是（Agent报告中引用）,输出字段，不输入
risk_class,风险分类,category,ML模型输出（RandomForest）,是（模型推理结果）,是（Agent报告中引用）,输出字段，不输入
